Sentence,Emotion,TRUE,SentenceCI,CI,CI_Distance
Daima sinirli birisidir. </s><s> Tam bir Somali denizcisi gibi küfür eder.,ANGER,She,</s><s> Biz de tam da Rhiannon' la senden bahsediyorduk. </s><s> Rhiannon' ı biliyor musun olmasın. </s><s> Daima sinirli birisidir. </s><s> Tam bir Somali denizcisi gibi küfür eder. </s><s>,name (Rhiannon),-1
"</s><s> - Şey, fakültedeki en sinirli öğrenci oydu. </s><s>",ANGER,She,"</s><s> Senin ve Maria arasında pek çok arama var. </s><s> - Bir sebebi var mı? </s><s> - Şey, fakültedeki en sinirli öğrenci oydu. </s><s> Yani, Maria ...",name (Maria),1
"Daha önce söylediklerimden ziyade, en çok buna sinirlenmişti .",ANGER,She,"</s><s> Karım cadalozun tekiydi. </s><s> Artık dayanamayıp, "" Seni seviyorum, ama hayatımdan zevk almak istiyorum "" demiştim. </s><s> Daha önce söylediklerimden ziyade, en çok buna sinirlenmişti . </s><s>",wife (karım),-2
"</s><s> Sence bana ne kadar süre sinirli kalacak? </s><s> Bilmiyorum, sadece kalbine dokunan o küçük ışık topundan bahsetmeye devam et. </s><s>",ANGER,She,"</s><s> Hermione' nin yaptığı şu alevlere Her zaman bayılmışımdır. </s><s> Sence bana ne kadar süre sinirli kalacak? </s><s> Bilmiyorum, sadece kalbine dokunan o küçük ışık topundan bahsetmeye devam et. </s><s>",name (Hermione),-1
Ne zaman kendisine ait bölgede beklenmedik bir olay meydana gelse ... ... sinirleri harap olurdu.,ANGER,She,</s><s> Aynı Rebecca gibi ... ... davranıyorsun. </s><s> - Rebecca da kim? </s><s> Tanzanya' daki bir babun arkadaşım. </s><s> Ne zaman kendisine ait bölgede beklenmedik bir olay meydana gelse sinirleri harap olurdu.,name (Rebecca),-2
Biraz sinirli biriydi ... ... ama bu yaz birbirimize çok yakınlaşmıştık. </s><s> Kendisi ailemiz için çok önemliydi. </s><s> ,ANGER,She,- Aynı Marlene' den bahsediyoruz yani. </s><s> - Evet. </s><s> - Öyle. </s><s> Biraz sinirli biriydi ... ... ama bu yaz birbirimize çok yakınlaşmıştık. </s><s> Kendisi ailemiz için çok önemliydi. </s><s> Görünüşe göre sen de onun için çok önemliymişsin. </s><s> Yoksa evini sana bırakmazdı.,name (Marlene),-3
Bilirsin eğer aramazsam sinirlenir . </s><s> Her cuma geceleri yoldayım. </s><s>,ANGER,She,Bu benim karım. </s><s> Bilirsin eğer aramazsam sinirlenir . </s><s> Her cuma geceleri yoldayım. </s><s>,wife (karım),-1
"</s><s> Çok sinirliydi , onu yatıştıramadım. </s><s> Neden bu kadar korkuyordu? </s><s> ",ANGER,She,"Sonia annesinin anlamasından korkuyordu. </s><s> Çok sinirliydi , onu yatıştıramadım.",name (Sonia),-1
Çok sinirlenmişti çünkü Daniel ve Jimmy ona yalan söylemişti. </s><s> Jimmy' i yakalattırıp onu geri göndereceğini söylüyordu. </s><s> Bana bağırıyordu. </s><s>,ANGER,She,</s><s> Daniel' la ilgili Sally' i aradıkları zaman onunla ile birlikteydim. </s><s> Ona gerçeği söyledim. </s><s> Çok sinirlenmişti çünkü Daniel ve Jimmy ona yalan söylemişti. </s><s> Jimmy' i yakalattırıp onu geri göndereceğini söylüyordu. </s><s> Bana bağırıyordu. </s><s>,name (Sally),-2
" </s> <s> Sinirli miydi? </s><s> Hayır. </s><s> Hayır, kesinlikle değildi.",ANGER,She,"</s><s> Bana şu hikayeden bahset. </s><s> Prensesli olandan. </s><s> Prensesin neye benzediğinden bahset. </s><s> Aslında, o ... </s> <s> Sinirli miydi? </s><s> Hayır. </s><s> Hayır, kesinlikle değildi. </s><s> Kalbi tamamen özlemle doluydu. </s><s> Neyin özlemiyle? </s><s> Bir dostluk işte böyle başlar. </s><s> Birkaç hafta boyunca, Roscuro' ya asaletle, onurla, kahramanlık ... ... ve cesaretle ilgili bildiği Her şeyi anlattı. </s><s> Prensesten ve özleminin nereden geldiğinden bahsetti.",princess (prenses),-2
"Her neyse, biraz da sinirli tabii. </s><s> Pekala.",ANGER,She,"Halan çok cana yakın biridir. </s><s> Onu seveceksin. </s><s> Her neyse, biraz da sinirli tabii. </s><s> Pekala.",aunt (hala),-2
"İsveç' te olduğumu sanıyor. </s><s> Eğer beni görürse, sinirlenir .",ANGER,She,"</s><s> Gunnar, kimdi o? </s><s> - Annem. </s><s> - Annen mi? </s><s> İsveç' te olduğumu sanıyor. </s><s> Eğer beni görürse, sinirlenir .",mother(annem),-3
</s><s> Çıldırmış. </s><s> - Neden? </s><s> Sana mı çıldırdı? </s><s> - Hayır. </s><s> Sana. </s><s> Demek bana sinirlendi ? </s><s> Kimseyle görüşmek istemiyor.,ANGER,She,Ablan nerede? </s><s> Kendini odasına kilitlemiş. </s><s> Çıldırmış. </s><s> - Neden? </s><s> Sana mı çıldırdı? </s><s> - Hayır. </s><s> Sana. </s><s> Demek bana sinirlendi ? </s><s> Kimseyle görüşmek istemiyor.,sister (ablan),-7
- Sinirleri rahatsız.,ANGER,She,"Annem, Bayan Price, bu sabah biraz keyifsiz. </s><s> Bunu duyduğuma üzüldüm. </s><s> - Sinirleri rahatsız.",mother(annem),-2
Sizin gelmeyeceğinize çok sinirlendi . </s><s> Umarım benim hatam olmadığını söylediniz. </s><s> Söyledim. </s><s> Söyledim. </s><s> Yine de canı çok sıkıldı.,ANGER,She,Sizle tanıştıktan sonra Natalie' yi görmeye gittim. </s><s> Sizin gelmeyeceğinize çok sinirlendi . </s><s> Umarım benim hatam olmadığını söylediniz. </s><s> Söyledim. </s><s> Söyledim. </s><s> Yine de canı çok sıkıldı.,name (Natalie),-2
- Umarım sabahki olaya sinirlenmemiştir . </s><s>,ANGER,She,Az önce Gita aradı. </s><s> Rani günü bizimle geçireceğini söylemiş. </s><s> - Neden annesine yalan söylesin ki? </s><s> - Bilmiyorum. </s><s> - Umarım sabahki olaya sinirlenmemiştir . </s><s>,name (Rani),-4
"Her neyse, tartışmanın diğer yarısı senin hakkındaydı. </s><s> Ben mi? </s><s> Evet. </s><s> Zaten ortam yeterince gergindi, </s><s> Fakat senin ismini söylediğimde çok sinirlendi .",ANGER,She,"Önce onun gününün nasıl geçtiğini konuşuyorduk. </s><s> Biliyorsun şu katliam hakkında. </s><s> Doğru. </s><s> Ve sonra üzerime atlamak istedi. </s><s> Yani, Deb ateşli biri, arada bir küçük muhabbetler serpiştirmek lazım, bilirsin? </s><s> Hayır, o benim kız kardeşim. </s><s> Bilmiyorum. </s><s> Aradığın şeyi bulmanda yardımcı olabilir miyim? </s><s> İyi bir et bıçağın yoktur Herhalde. </s><s> Teşekkürler. </s><s> Her neyse, tartışmanın diğer yarısı senin hakkındaydı. </s><s> Ben mi? </s><s> Evet. </s><s> Zaten ortam yeterince gergindi, </s><s> Fakat senin ismini söylediğimde çok sinirlendi .",name (Deb),-10
"</s><s> - Asla karar veremedi. </s><s> Uzaklaştı, daha girişken olmadığım için bana sinirlendi .",ANGER,She,"- Annen bununla pek ilgilenmedi. </s><s> - Neden? </s><s> - Sanırım bunun benimle ilgisi pek yok. </s><s> - Kahrestin! </s><s> Siktir! </s><s> - Frank! </s><s> - Asla karar veremedi. </s><s> Uzaklaştı, daha girişken olmadığım için bana sinirlendi .",mother(annen),-7
Elinde bir bavul var. </s><s> Belki sinirli sinirli bir adres arıyor. </s><s>,ANGER,She,"Yalnız bir figür görüyorum - bir kadın, belki bir otobüsten yeni inmiş. </s><s> Elinde bir bavul var. </s><s> Belki sinirli sinirli bir adres arıyor. </s><s>",woman (kadın),-2
Tabi ki biraz sinirlendi . </s><s> Ve zaman geçti ve işime döndüm. ,ANGER,She,"Filmi çekerken, Carmen filmde olduğunu bilmiyordu. </s><s> Tabi ki biraz sinirlendi . </s><s> Ve zaman geçti ve işime döndüm. </s><s> Ve performansını görmesi için onu çağırdım.",name (Carmen),-1
Gece yarısından sonra çok sinirlenmiş . </s><s> Öyle mi? </s><s> Bu çok ilginç. </s><s> Kim bu?,ANGER,She,"Gece yarısından sonra çok sinirlenmiş . </s><s> Öyle mi? </s><s> Bu çok ilginç. </s><s> Kim bu? </s><s> Tanya Francke, Kay' in en yakın arkadaşı.",name (Tanya Francke),4
</s><s> Boşandığımız zaman. </s><s> 10 yıl kadar önce. </s><s> Çok sinirliydi . </s><s> Şu an biraz daha normal.,ANGER,She,</s><s> Karın nasıl? </s><s> Boşandığımız zaman. </s><s> 10 yıl kadar önce. </s><s> Çok sinirliydi . </s><s> Şu an biraz daha normal.,wife (karın),-3
Sinirli gözüküyor.,ANGER,She,</s><s> Annemin Peter' in gitmesini hiç umursadığını düşünmüyorum. </s> <s> Sinirli gözüküyor.,mother(annem),-1
Bugün bayağı sinirli .,ANGER,She,Nina için sakinleştirici alır mısın? </s><s> Bugün bayağı sinirli .,name (Nina),-1
- Jimmy' e yaptığını duydun. </s><s> Bizi burada görürse nasıl sinirleneceğini tahmin et.,ANGER,She,- Peki ya Daphne? </s><s> - Jimmy' e yaptığını duydun. </s><s> Bizi burada görürse nasıl sinirleneceğini tahmin et.,name (Daphne),-2
" Bana biraz sinirlendi , ama ... </s><s> ",ANGER,She,"</s><s> Galiba Whisky' de. </s><s> O ... </s><s> Bana biraz sinirlendi , ama ... </s><s> Bu o mu? </s><s> Çekici kızmış.",girl (kız),2
Sinirlendiğinde atalarıma bile sövüyor.,ANGER,She,Meishan' ın şarkısını mı dinlemeye gittin? </s><s> Onu çok şımarttım. </s> <s> Sinirlendiğinde atalarıma bile sövüyor.,name (Meishan),2
Ötekiler iyi görünürken kendisinin gergin ve sinirli olduğunu söyledi. </s><s> Sonra eve yürüdüler.,ANGER,She,</s><s> Judy nihayet yemeğe gidebildiklerini söyledi. </s><s> Ötekiler iyi görünürken kendisinin gergin ve sinirli olduğunu söyledi. </s><s> Sonra eve yürüdüler.,name (Judy),-2
</s><s> Çok sinirli mi görünüyor? </s><s> Pek sayılmaz. </s><s> İyi.,ANGER,She,Karım hala orada mı? </s><s> Çok sinirli mi görünüyor? </s><s> Pek sayılmaz. </s><s> İyi.,wife (karım),-1
Son zamanlarda çok hasta ve sinirliydi . </s><s> Eskiden çok mutluydu.,ANGER,She,</s><s> İyi bir anneydi değil mi? </s><s> Son zamanlarda çok hasta ve sinirliydi . ,mother(anne),-1
</s><s> Oldukça sinirli .,ANGER,She,Dinle ... ... Kraft denen hatunu Hemen görmek istemeyebilirsin. </s><s> Oldukça sinirli .,woman (hatun),-1
Tam saat 21. 00 civarında bana sinirlenmeye başlayacak. </s><s> Neden sana sinirlenecek?,ANGER,She,"Tam saat 21. 00 civarında bana sinirlenmeye başlayacak. </s><s> Neden sana sinirlenecek? </s><s> Çünkü George, güzel kızlar, erkekler onlardan faydalanmak isterse sinirlenirler.",girls (kızlar),2
gözlük kullanmak zorunda olduğuna çok kızmış . ve gözlüğe ihtiyacı olduğunu hissettirmemek için epey çaba harcamış.,ANGER,She,"Sonradan anlattığına göre, teyzem gözlük kullanmak zorunda olduğuna çok kızmış . ve gözlüğe ihtiyacı olduğunu hissettirmemek için epey çaba harcamış.",aunt (teyzem),-1
Bir şeye gerçekten kızmış,ANGER,She,Görünüşe göre Nikita kadının bileğini kırmış. </s><s> Bir şeye gerçekten kızmış .,name (Nikita),-1
"Son romanını, nasıl attığını hatırlıyorum. </s><s> Çok kızmıştı . </s><s> Ama şu işe bak, onu bir anda değiştirmiş gibisin.",ANGER,She,"Ella eskiden ondan nefret ederdi. </s><s> Son romanını, nasıl attığını hatırlıyorum. </s><s> Çok kızmıştı . </s><s> Ama şu işe bak, onu bir anda değiştirmiş gibisin.",name (Ella),-2
Ondan ayrıldığımda o kadar kızmıştı ki ... ... neredeyse bir çatalı gözüme saplıyordu.,ANGER,She,"Jennie Stedmeyer' den orada ayrılmıştım. </s><s> - Niye ayrılmıştın. </s><s> - Bilmiyorum? </s><s> İlk senemizde, bekaretimizi birbirimize kaybetmiştik. </s><s> Bütün yaptığımız müzik dinlemek ve seks yapmaktı. </s><s> O harika biriydi. </s><s> Gerçekten harikaydı. </s><s> Evet, dostum. </s><s> Çok seksiydi. </s><s> Ondan ayrıldığımda o kadar kızmıştı ki ... ... neredeyse bir çatalı gözüme saplıyordu",name (Jennie),-9
Bu yüzden ağabeyini aramış ... ... ve Hong Kong' a gelip kendisini aramadığı için kızmış .,ANGER,She,Kız kardeşi iki gün önce aile mezarlarına gitmiş ... ... ve orada yeni çiçekler görmüş. </s><s> Bu yüzden ağabeyini aramış ... ... ve Hong Kong' a gelip kendisini aramadığı için kızmış .,sister (kız kardeşi),-1
Gerçekten kızmış olmalı.,ANGER,She,- Marilyn nerede? </s><s> - Bütün gece Darlene' in evide kaldı. </s><s> Gerçekten kızmış olmalı.,name (Marilyn),-2
Bana kızmıştı ve giymeyi reddetmişti.,ANGER,She,Bunu ben 10 yaşındayken anneme almıştım. </s><s> Bana kızmıştı ve giymeyi reddetmişti.,mother(annem),-1
<s> Kızmaz değil mi?,ANGER,She,"Bayan Gates' i arasam iyi olacak. </s><s> Evet, onu Bristol' dan bu saatte ara. </s> <s> Kızmaz değil mi?",Ms Gates (Bayan Gates),-2
"Olan şu ki, Bovary' ye kızmış.",ANGER,She,"Annem geliyor, artık bizimle kalacak. </s><s> - Ne? </s><s> - Çok kızdım ona. </s><s> Bi ... bi ... bir dakika. Bir şey mi kaçırdım? </s><s> Sevgilisinden ayrılmış. </s><s> Ne ... ne olmuş ki? </s><s> Ben onun sonunda durulduğunu sanıyordum. </s><s> Ne mi olmuş? </s><s> Olan şu ki, Bovary' ye kızmış .",mother(annem),-8
Biraz kızmışa benziyordu.,ANGER,She,"Linda demişken, az önce aradı. </s><s> - Öyle mi? </s><s> Biraz kızmışa benziyordu.",name (Linda),-2
Roger' a çok ama çok kızacaktır. </s><s> Sana da kızmaz mı?,ANGER,She,"Yani bugün burada gördüğün hiçbir şeyi annene anlatamazsın, tamam mı? </s><s> Çünkü, aksi halde, </s><s> Roger' a çok ama çok kızacaktır. </s><s> Sana da kızmaz mı?",mother(annene),-2
"Yine sana mı kızdı? </s><s> - Hayır, bana kızmadı .",ANGER,She,"Annem ne zaman dönecek? </s><s> Yine sana mı kızdı? </s><s> - Hayır, bana kızmadı .",mother(annem),-1
"Biz gülüyorduk, o ise gülmüyordu. </s><s> - Pek eğlenmemişti. </s><s> - Çok kızmıştı",ANGER,She,"Ve sen de Gwen' e çarpmıştın. </s><s> Biz gülüyorduk, o ise gülmüyordu. </s><s> - Pek eğlenmemişti. </s><s> - Çok kızmıştı",name (Gwen),-3
Yüzünü görmeliydin. </s><s> Early ile birlikte olduğumu öğrendiğinde önce kızmıştı,ANGER,She,Annem güzellik uzmanıydı. </s><s> - Sahi mi? </s><s> Evet. </s><s> Pembeyi çok sever. </s><s> Yüzünü görmeliydin. </s><s> Early ile birlikte olduğumu öğrendiğinde önce kızmıştı,mother(annem),-5
"Sarhoş değil ve ağlamıyorsa, geceden kalma ve kavgacıdır. </s><s> Bir bakarsın sana kızgın ve konuşmuyor.",ANGER,She,"</s><s> Adam bir sarışın getiriyor. </s><s> Kadın olmayacak diye yemin etmemize rağmen! </s><s> Ama onu getirmesi gerekti. </s><s> Sarhoş değil ve ağlamıyorsa, geceden kalma ve kavgacıdır. </s><s> Bir bakarsın sana kızgın ve konuşmuyor. </s><s> Bir bakarsın adamın yanında sana kurlar yapıyor! ",woman (kadın),-3
<s> Çok kızgın . </s><s> ,ANGER,She,<s> - Şu kız var ya? </s><s> - Hangi kız? </s><s> Şapkasız daha iyi göründüğünü söyleyen kız. </s><s> - Şapkayı niye taktığını anlat. </s><s> - Anlattım bile. </s><s> Çok kızgın . </s><s> Onu aptal durumuna soktuğunu söylüyor.,girl (kız),-5
Zaten diş Hekimi değilim diye çok kızgın bana.,ANGER,She,"Hadi dostum, bu benim kaynanamın arabası, tamam mı? </s><s> Zaten diş Hekimi değilim diye çok kızgın bana",motHer-in-law (kaynanam),-1
"- Evet, biliyorum. </s><s> - Bana kızgın . </s><s>",ANGER,She,"- Ellen evlenmiş. </s><s> - Evet, biliyorum. </s><s> - Bana kızgın . </s><s>",name (Ellen),-2
Sana çok kızgın,ANGER,She,Tekrar Linda. </s><s> Sana çok kızgın,name (Linda),-1
"Hayır, Sanırım onunla alay geçtiğimiz için bize hala kızgın .",ANGER,She,"Annem hala aramadı mı? </s><s> Hayır, Sanırım onunla alay geçtiğimiz için bize hala kızgın .",mother(annem),-1
Bunu yapmak istemiyor. </s><s> Bana çok mu kızgın ?,ANGER,She,- Becky nerede? </s><s> - Bunu yapmak istemiyor. </s><s> Bana çok mu kızgın ?,name (Becky),-2
"Haklıydın, bana hâlâ kızgın .",ANGER,She,"Haklıydın, bana hâlâ kızgın . </s><s> Güzel aşk, gücünü yenile. </s><s> Bana böyle şeyler söyleme. </s><s> Millet duyacak. </s><s> Sen kızı utandırdın. </s><s>",girl (kız),4
Burada kalacağını söyledim. </s><s> Öğleden sonra seni arayacağını söyledi. </s> <s> Kızgın mıydı?,ANGER,She,- Dün gece annenle konuştum. </s><s> Burada kalacağını söyledim. </s><s> Öğleden sonra seni arayacağını söyledi. </s> <s> Kızgın mıydı?,mother(annen),-3
Çok kızgın gibiydi.,ANGER,She,Bir kez aradım. </s><s> - Ve? </s><s> Annesi çıktı. </s><s> Çok kızgın gibiydi.,mother(annesi),-1
Ama uyandığı zaman çok kızgındı ... ve kapıyı tekmelemeye başladı?,ANGER,She,"Dostum, bir keresinde, bir kızı hücreye kapattılar? </s><s> Onu kötü benzettiler. </s><s> Ama uyandığı zaman çok kızgındı ... ve kapıyı tekmelemeye başladı?",girl (kız),-2
"Elbette, bize hiç şans bırakmadı ve hala kızgın .",ANGER,She,"- Bayan MitcHell galada olacak mı? </s><s> - Kim bilir? </s><s> Genç takım üyeliğini reddetikten sonra, ne yapacağı tahmin edilemiyor. </s><s> Elbette, bize hiç şans bırakmadı ve hala kızgın .",Miss (Bayan),-3
Tek bildiğim çok kızgın olduğu!,ANGER,She,Jeanne' ın benimle olmadığını söyledim! </s><s> Onu rahatsız edemem. </s><s> Onu odasından ara! </s><s> Tek bildiğim çok kızgın olduğu!,name (Jeanne),-3
Artık sana kızgın değilmiş ama beni feci haşladı.,ANGER,She,Dün geceki küçük kavgamızdan sonra Linda' yı aradığımı ... ... ve benim suçum olduğunu anlattım dersem affeder misin? </s><s> O ne dedi? </s><s> Artık sana kızgın değilmiş ama beni feci haşladı.,name (Linda),-2
İbo' ya neden bu kadar kızgın ?,ANGER,She,"Gururlu, Trabzonlu kızlar gibi. </s><s> Üstelik güzel de. </s><s> Bir Alman için fena sayılmaz. </s><s> İbo' ya neden bu kadar kızgın ?",girls (kızlar),-3
"Bana kızgın . </s><s> - Neden, ne yaptın? </s><s> ",ANGER,She,"Kim cevap vermiyor? </s><s> Kız arkadaşım. </s><s> Bana kızgın . </s><s> - Neden, ne yaptın? </s><s> ",girlfriend (kız arkadaşım),-1
"</s><s> Neyse, kapatmalıyım. </s><s> Yatacağım. </s><s> - Sana kızgın değil.",ANGER,She,"Asıl Karen aday gösterilmeliydi ama bir sürtük olduğu için unutuluyor. </s><s> Neyse, kapatmalıyım. </s><s> Yatacağım. </s><s> - Sana kızgın değil.",name (Karen),-3
</s><s> Zor oldu. </s><s> Hala gerçekten yaralı ve kızgın . </s><s>,ANGER,She,Kız kardeşimi gördüm. </s><s> Zor oldu. </s><s> Hala gerçekten yaralı ve kızgın . </s><s>,sister (kız kardeşim),-2
<s> Sanırım bana kızgın çünkü ona üç mektup falan borcum var.,ANGER,She,Wendy' den kartpostal aldım. </s><s> Sanırım bana kızgın çünkü ona üç mektup falan borcum var.,name (Wendy),-1
Sadece kızgın bana.,ANGER,She,"</s><s> Molly, Leonard' ın tarafında sanıyordum. </s><s> Sadece kızgın bana.",name (Molly),-1
Gayet sert ve kızgın bir tipi var.,ANGER,She,</s><s> Peki ya Angela? </s><s> Gayet sert ve kızgın bir tipi var.,name (Angela),-1
</s><s> Çantasını toplayıp gitti </s><s> Onu son gördüğünde kızgın mıydı? </s><s>,ANGER,She,"</s><s> Lisa'nın nerede olduğunu bilmiyorum Mark, Yemin ederim ki </s><s> Çantasını toplayıp gitti </s><s> Onu son gördüğünde kızgın mıydı? </s><s>",name (Lisa),-2
<s> Kızgın biri oldu. </s><s> İyi ama kızgın.,ANGER,She,"<s> Kızgın biri oldu. </s><s> İyi ama kızgın. </s><s> Öfke, annemi çok üzgün ve kırgın biri yaptı çıktı.",mother(anne),2
</s><s> Camlı dolabı Henüz yapmadım. </s><s> Bana kızgındır .,ANGER,She,"</s><s> Donna da kızabiliyor. </s><s> Yeni bir mutfak istiyordu. </s><s> Ben de marangozluktan anlarım, .. ona mutfak hazırlamaya başladım. </s><s> Camlı dolabı Henüz yapmadım. </s><s> Bana kızgındır .",name (Donna),-4
"Sonunda kızgın olduğunu kabul etmek zorunda kaldı. </s><s> Hayır, gözü dönmüştü.",ANGER,She,"Sonunda kızgın olduğunu kabul etmek zorunda kaldı. </s><s> Hayır, gözü dönmüştü. </s><s> Dora' nın tepesini Herhangi bir şey attırabilirdi",name (Dora),-2
Özellikle de kendi yollarını tıkamalarına kızgındı .,ANGER,She,</s><s> Anneannem. </s><s> Özellikle de kendi yollarını tıkamalarına kızgındı .,grandmother(anneanne),-1
</s><s> Çok kızgındı .,ANGER,She,</s><s> Koridorda Betty' yi gördüm. </s><s> Çok kızgındı .,name (Betty),-1
</s><s> Yakınlarda uğramadığın için kızgın .,ANGER,She,</s><s> Ben Natalie' nin bir arkadaşıyım. </s><s> Sosyal hizmetlerden misin? </s><s> Onun gibi bir şey. </s><s> Yakınlarda uğramadığın için kızgın .,name (Natalie),-3
"<s> Kızgın , kırıcı ve çok kötü kokuyor.",ANGER,She,"</s><s> Elenor Scoult. </s> <s> Kızgın , kırıcı ve çok kötü kokuyor.",name (Elenor),-1
İşteyken basıldığı için kızgınmış .,ANGER,She,</s><s> Anne baykuşu görüyor musun? </s><s> İşteyken basıldığı için kızgınmış .,mother(anne),-1
"Hayret ediyor, ama kızgın .",ANGER,She,"</s><s> Kapıyı çalıyorum. </s><s> Kızım kapıyı açıyor. </s><s> Hayret ediyor, ama kızgın .",daughter (kızım),-1
- Çok mu kızgın ? </s><s> Çok.,ANGER,She,</s><s> - Ama annen bu gece dönmeyecek. </s><s> - Çok mu kızgın ? </s><s> Çok.,mother(anne),-1
</s><s> Ona yaptıklarımızdan dolayı çok kızgın .,ANGER,She,"</s><s> Başımıza gelen Herşey, yoldaki o kızla ilgili. </s><s> Ona yaptıklarımızdan dolayı çok kızgın .",girl (kız),-1
Biz de öyle ama görünüşe göre sana çok kızgın .,ANGER,She,</s><s> Karımı olması gerektiği yerde istiyorum. </s><s> Biz de öyle ama görünüşe göre sana çok kızgın .,wife (karım),-1
</s><s> Bilmiyorum. </s><s> Ona oldukça kızgındı .,ANGER,She,</s><s> - Kocasını sevdiğini düşünüyor musun? </s><s> - Kimin? </s><s> Bayan StepHenson' ın. </s><s> Bilmiyorum. </s><s> Ona oldukça kızgındı .,husband (kocası),-2
</s><s> - Senden nefret etmiyor. </s><s> - Şaka mı yapıyorsun? </s><s> Rite Aid olayları yüzünden bana hala kızgın .,ANGER,She,</s><s> Büyükannemin benden nefret etmesi için bir sebep daha. </s><s> - Senden nefret etmiyor. </s><s> - Şaka mı yapıyorsun? </s><s> Rite Aid olayları yüzünden bana hala kızgın .,grandmother(büyükanne),-3
</s><s> Bizimle oyun oynuyor. </s><s> Neden böyle bir şey yapsın ki? </s><s> Çünkü kızgın .,ANGER,She,</s><s> CatHerine' i bulamıyorum. </s><s> Bütün odalara baktım. </s><s> Dışarıyı da kontrol ettim. </s><s> Hiçbir yerde yok. </s><s> Bizimle oyun oynuyor. </s><s> Neden böyle bir şey yapsın ki? </s><s> Çünkü kızgın .,name (CatHerine),-6
</s><s> Babasını kaybettiği için kızgın sadece.,ANGER,She,</s><s> Elektra kompleksi. </s><s> Ödip kompleksinin aynısı ama kızlar için olanı. </s><s> O polislerden nefret etmiyor. </s><s> Babasını kaybettiği için kızgın sadece.,girls (kızlar),-2
